Entity,Code,Year,Deaths - Sex: all - Age: all - Variant: estimates,Births - Sex: all - Age: all - Variant: estimates
Indonesia,IDN,1950,1435160.0,2783163.0
Indonesia,IDN,1951,1444298.0,2892411.0
Indonesia,IDN,1952,1454169.9,3005894.0
Indonesia,IDN,1953,1468481.9,3120435.0
Indonesia,IDN,1954,1483242.0,3244910.0
Indonesia,IDN,1955,1499259.0,3365766.0
Indonesia,IDN,1956,1512160.0,3477703.0
Indonesia,IDN,1957,1524872.0,3586852.0
Indonesia,IDN,1958,1550791.0,3699360.0
Indonesia,IDN,1959,1556249.0,3810136.0
Indonesia,IDN,1960,1568601.0,3919585.0
Indonesia,IDN,1961,1583457.0,4017562.0
Indonesia,IDN,1962,1584576.0,4109792.0
Indonesia,IDN,1963,1593208.0,4202713.0
Indonesia,IDN,1964,1594677.0,4294836.0
Indonesia,IDN,1965,2111123.0,4390058.0
Indonesia,IDN,1966,1729451.9,4444550.0
Indonesia,IDN,1967,1585671.0,4495626.0
Indonesia,IDN,1968,1584249.0,4545921.0
Indonesia,IDN,1969,1576784.9,4611695.0
Indonesia,IDN,1970,1569098.0,4649581.0
Indonesia,IDN,1971,1565151.0,4676455.0
Indonesia,IDN,1972,1562496.0,4712199.0
Indonesia,IDN,1973,1560364.0,4771017.0
Indonesia,IDN,1974,1554717.0,4750942.0
Indonesia,IDN,1975,1550118.0,4813924.0
Indonesia,IDN,1976,1552624.0,4844037.0
Indonesia,IDN,1977,1540761.0,4875503.0
Indonesia,IDN,1978,1541175.0,4954155.0
Indonesia,IDN,1979,1536545.0,4997095.0
Indonesia,IDN,1980,1532758.0,5017480.0
Indonesia,IDN,1981,1536863.0,5034172.0
Indonesia,IDN,1982,1526362.0,5071779.0
Indonesia,IDN,1983,1510524.0,5069385.0
Indonesia,IDN,1984,1499690.1,5049254.0
Indonesia,IDN,1985,1485686.0,4905103.0
Indonesia,IDN,1986,1481095.0,4790986.0
Indonesia,IDN,1987,1482072.0,4786663.0
Indonesia,IDN,1988,1491827.0,4822964.0
Indonesia,IDN,1989,1484407.0,4801113.0
Indonesia,IDN,1990,1484941.0,4735739.0
Indonesia,IDN,1991,1482620.0,4771472.0
Indonesia,IDN,1992,1475622.0,4717293.0
Indonesia,IDN,1993,1455090.0,4742367.0
Indonesia,IDN,1994,1477837.0,4769947.0
Indonesia,IDN,1995,1498501.0,4803061.0
Indonesia,IDN,1996,1522824.0,4854339.0
Indonesia,IDN,1997,1536026.0,4874197.0
Indonesia,IDN,1998,1560271.0,4819179.0
Indonesia,IDN,1999,1593767.0,4730769.0
Indonesia,IDN,2000,1605637.0,4686376.0
Indonesia,IDN,2001,1619259.0,4685685.0
Indonesia,IDN,2002,1624574.0,4687565.0
Indonesia,IDN,2003,1650939.0,4688692.0
Indonesia,IDN,2004,1845607.0,4739873.0
Indonesia,IDN,2005,1702851.0,4852370.0
Indonesia,IDN,2006,1736657.0,4899748.0
Indonesia,IDN,2007,1759193.0,4970646.0
Indonesia,IDN,2008,1787618.0,4925996.0
Indonesia,IDN,2009,1814615.0,4955500.0
Indonesia,IDN,2010,1854127.0,5015256.0
Indonesia,IDN,2011,1875287.0,5141881.0
Indonesia,IDN,2012,1897862.0,5157679.0
Indonesia,IDN,2013,1921332.0,5025781.0
Indonesia,IDN,2014,1941415.0,4942318.0
Indonesia,IDN,2015,1962168.0,4861441.0
Indonesia,IDN,2016,1985267.0,4799811.0
Indonesia,IDN,2017,2006818.0,4689219.0
Indonesia,IDN,2018,2041289.0,4628645.0
Indonesia,IDN,2019,2059519.0,4607562.0
Indonesia,IDN,2020,2430253.0,4582350.0
Indonesia,IDN,2021,2779186.0,4543453.0
Indonesia,IDN,2022,2088877.9,4518308.0
Indonesia,IDN,2023,2117709.0,4482359.0
